months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,payment_Credit Card,payment_Mailed Check,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E
0,0,0.094117647,0,0,1,0,0,0,1,0.212935323,0.5,1,0,0,1,0,0,0,0,0,0,0
0,1,0.2,0,1,0,0,1,0,1,0.620895522,0.5,1,1,0,0,1,0,0,0,0,0,1
0.25,1,0.611764706,0,0,0,0,1,0,1,0.768159204,0.25,1,0,0,0,1,0,0,0,0,1,0
0.25,0,0.141176471,0,1,1,0,1,0,1,0.798507463,0.25,1,0,0,0,1,0,0,0,1,0,0
0.5,1,0.164705882,0,0,0,0,1,0,1,0.57960199,0.25,1,0,0,0,1,0,0,0,1,0,0
0.25,1,0.211764706,0,0,1,0,0,0,1,0.595024876,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0.352941176,0,0,0,0,1,0,1,0.519402985,0.25,1,0,1,0,1,0,0,0,0,0,1
1,0,0.282352941,0,1,1,0,1,0,1,0.269154229,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0.223529412,0,0,0,0,1,0,1,0.55920398,0.25,1,0,1,0,1,0,0,0,0,1,0
0,0,0.211764706,1,0,0,0,0,0,0,0.579104478,0.25,1,0,0,0,1,0,0,0,0,0,1
0,0,0.341176471,0,1,0,0,0,0,1,0.763681592,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.341176471,0,1,0,0,1,0,1,0.558706468,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.141176471,0,1,0,0,1,0,0,0.21840796,0.25,1,0,0,1,0,0,0,0,0,0,1
0,0,0.329411765,0,0,1,0,1,0,1,0.227860697,0.25,1,0,0,1,0,0,0,0,0,0,1
0,1,0.129411765,0,1,1,0,0,0,1,0.882089552,0,1,0,0,0,0,0,0,0,0,1,0
0.25,0,0.105882353,0,0,0,1,1,0,1,0.758208955,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.082352941,0,1,0,0,1,0,1,0.559701493,0.25,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.176470588,0,0,0,0,1,0,1,0.575621891,0.25,1,0,0,0,1,0,0,0,1,0,0
0,1,0.023529412,0,0,0,0,1,0,1,0.768159204,0.5,1,0,0,0,1,0,0,0,0,0,1
0.5,1,0.117647059,0,0,0,0,1,0,1,0.563681592,0.25,1,0,0,0,1,0,0,0,1,0,0
0.25,0,0.141176471,0,0,1,0,1,0,1,0.745273632,0.25,1,0,0,0,0,0,0,0,1,0,0
0.75,1,0.058823529,1,1,0,1,1,0.5,0,0.63880597,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0.117647059,0,0,0,0,1,0,1,0.51840796,0.5,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.094117647,1,0,0,0,1,0,1,0.235323383,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0,0.152941176,1,0,0,0,0,0,0,0.124378109,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.016915423,0,1,0,1,0,0,1,0,0,0,0,0
0.75,1,0.317647059,0,1,1,0,0,0,1,0.668656716,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0.164705882,0,1,0,0,1,0,1,0.627860697,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0.2,0,0,1,0,0,0,1,0.567661692,0.25,1,0,0,0,1,0,0,0,0,0,1
0,0,0.305882353,0,1,0,0,1,0,0,0.101492537,0.25,1,0,0,1,0,0,0,0,0,0,1
0.25,1,0.141176471,0,1,1,0,0,0,1,0.754726368,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.258823529,0,0,0,0,1,0,1,0.558208955,0,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.294117647,1,0,0,0,1,0,1,0.566666667,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.282352941,0,0,1,0,1,0,1,0.705970149,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.247058824,0,0,0,0,1,0,1,0.671144279,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0.329411765,1,0,1,0,1,0,0,0.865671642,0,1,0,0,0,1,0,0,1,0,0,0
0.75,1,0.164705882,0,1,0,0,1,0,0,0.714427861,0.25,1,1,0,0,1,0,0,1,0,0,0
0.5,1,0.058823529,0,1,1,1,1,0,1,0.92039801,0.25,1,0,0,0,1,0,0,1,0,0,0
0.75,1,0.141176471,1,0,1,0,1,0.5,1,0.858706468,0,1,0,0,0,1,0,0,1,0,0,0
0.25,1,0.117647059,0,0,0,0,1,0,1,0.75920398,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.223529412,0,1,0,0,1,0,0,0.708955224,0.25,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.013930348,0.25,1,0,0,0,0,1,0,0,0,0,0
0.75,0,0.211764706,0,1,0,0,0,0,1,0.307462687,0.25,1,0,0,1,0,0,0,0,0,0,0
0,0,0.317647059,1,0,0,0,1,0,1,0.308457711,0.25,1,0,0,1,0,0,0,0,0,0,0
0.5,1,0.094117647,0,0,0,0,1,0,1,0.758706468,0.5,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.223529412,1,1,1,0,1,0,0,0.730845771,0,1,1,0,0,1,0,0,0,0,0,0
0.25,1,0.152941176,0,0,1,0,0,0,1,0.799004975,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.235294118,1,1,1,0,1,0.5,1,0.912935323,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.129411765,0,0,0,0,1,0,1,0.769651741,0.5,1,0,0,0,0,0,0,0,0,0,0
0,0,0.211764706,0,0,0,0,1,0,1,0.602985075,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.082352941,0,0,1,0,0,0.5,1,0.813432836,0.5,1,0,0,0,1,0,0,0,0,0,0
0.25,0,0.282352941,0,1,0,0,1,0,1,0.551243781,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.176470588,0,0,1,0,1,0,1,0.81840796,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.282352941,0,1,0,0,0,0,1,0.543283582,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.070588235,0,0,0,0,1,0,1,0.550248756,0.25,1,0,0,0,1,0,0,0,0,0,0
0,1,0.129411765,0,1,0,0,1,0,1,0.608457711,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2,0,0,0,0,1,0,1,0.660199005,0,1,0,0,0,0,0,0,0,0,0,0
0.5,1,0.223529412,0,0,1,0,0,0,1,0.8039801,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.129411765,0,0,0,0,1,0,0,0.265671642,0.25,1,1,0,1,0,0,0,0,0,0,1
0,0,0.317647059,1,0,0,1,1,0,0,0.81641791,0,1,1,0,0,1,0,0,0,0,0,0
0.75,0,0.329411765,0,1,0,0,1,0,1,0.12039801,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.188235294,0,1,1,0,1,0.5,1,0.850746269,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.176470588,0,1,0,0,1,0,1,0.62039801,0.25,1,0,0,0,0,0,0,0,0,0,0
0,1,0.270588235,0,0,0,0,1,0,1,0.756716418,0.25,1,0,0,0,1,0,0,0,0,0,1
0.25,1,0.270588235,0,0,0,0,1,0,1,0.569651741,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.341176471,0,0,1,0,1,0,1,0.819402985,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0.023529412,1,0,0,1,1,0,1,0.697014925,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0.105882353,0,0,1,0,1,0,1,0.734825871,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0.282352941,0,0,0,0,1,0,0,0.71840796,0.5,1,1,0,0,1,0,0,0,0,0,0
0,0,0.117647059,0,0,1,1,1,0,1,0.252736318,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0.247058824,0,0,1,0,1,0,1,0.557711443,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.317647059,0,0,0,0,1,0,0,0.710945274,0.25,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.188235294,0,0,1,0,1,0,1,0.817910448,0.5,1,1,0,0,0,0,0,0,0,0,0
0.5,1,0.305882353,0,1,1,0,1,0,1,0.869651741,0.5,1,0,0,0,1,0,0,0,0,0,0
0,1,0.317647059,0,0,1,1,1,0,1,0.853731343,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.105882353,0,0,0,0,1,0,1,0.61840796,0.25,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.164705882,0,0,1,0,1,0,1,0.415920398,0,1,0,0,1,0,0,0,0,0,0,0
0.25,1,0.188235294,0,0,0,0,1,0,1,0.775124378,0.25,1,0,0,0,1,0,0,0,0,0,0
0.75,0,0.352941176,0,1,0,0,1,0.5,0,0.766169154,0.25,1,1,0,0,1,0,0,0,0,0,0
1,1,0.282352941,0,1,0,0,1,0,1,0.709950249,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0.317647059,0,0,0,0,1,0,1,0.708955224,0.25,1,0,0,0,1,0,0,0,0,0,1
0,1,0.258823529,0,0,0,0,1,0,1,0.670149254,0,1,0,0,0,0,0,0,0,0,0,0
0.25,1,0.258823529,0,0,0,0,1,0,1,0.680099502,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.211764706,0,0,0,0,1,0,1,0.507462687,0.25,1,0,0,0,0,0,0,0,0,0,1
0,0,0.058823529,0,0,0,0,1,0,1,0.069154229,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.282352941,0,0,0,0,1,0,1,0.764179104,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.282352941,0,0,0,0,1,0,1,0.606467662,0.5,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.047058824,0,1,1,0,1,0,1,0.756218905,0,1,0,0,0,1,0,0,0,0,0,0
